,week,count_promo,flows,coefficient
143,42,2370,champions_sleeping,18.7
144,43,2363,champions_sleeping,21.4
145,44,2538,champions_sleeping,17.4
146,45,2237,champions_sleeping,18.2
147,46,2371,champions_sleeping,19.3
148,47,2357,champions_sleeping,12.4
149,48,2597,champions_sleeping,20.5
150,49,2416,champions_sleeping,19.0
151,50,2712,champions_sleeping,17.0
152,51,2674,champions_sleeping,23.4
153,1,1351,loyal_sleeping,11.5
154,2,1765,loyal_sleeping,16.4
155,3,1921,loyal_sleeping,14.6
156,4,1793,loyal_sleeping,13.3
157,5,1871,loyal_sleeping,13.6
158,6,1929,loyal_sleeping,11.7
159,7,2246,loyal_sleeping,15.7
160,8,2140,loyal_sleeping,11.9
161,9,2354,loyal_sleeping,17.0
162,10,2242,loyal_sleeping,14.9
163,11,2306,loyal_sleeping,11.4
164,12,2261,loyal_sleeping,15.8
165,13,2189,loyal_sleeping,19.9
166,14,2182,loyal_sleeping,21.2
167,15,2213,loyal_sleeping,14.5
168,16,2270,loyal_sleeping,12.2
169,17,2528,loyal_sleeping,16.9
170,18,2303,loyal_sleeping,13.4
171,19,2264,loyal_sleeping,12.3
172,20,2313,loyal_sleeping,12.0
173,21,2378,loyal_sleeping,13.1
174,22,2296,loyal_sleeping,20.3
175,23,2416,loyal_sleeping,13.2
176,24,2493,loyal_sleeping,22.1
177,25,2348,loyal_sleeping,19.6
178,26,2502,loyal_sleeping,14.1
179,27,2420,loyal_sleeping,15.6
180,28,2539,loyal_sleeping,13.9
181,29,2342,loyal_sleeping,25.7
182,30,2393,loyal_sleeping,14.7
183,31,2279,loyal_sleeping,12.1
184,32,2399,loyal_sleeping,14.7
185,33,2341,loyal_sleeping,14.6
186,34,2332,loyal_sleeping,22.7
187,35,2212,loyal_sleeping,14.7
188,36,2375,loyal_sleeping,13.5
189,37,2212,loyal_sleeping,13.6
190,38,2485,loyal_sleeping,10.6
191,39,2510,loyal_sleeping,14.4
192,40,2427,loyal_sleeping,11.5
193,41,2359,loyal_sleeping,12.2
194,42,2370,loyal_sleeping,8.4
195,43,2363,loyal_sleeping,9.8
196,44,2538,loyal_sleeping,14.5
197,45,2237,loyal_sleeping,11.8
198,46,2371,loyal_sleeping,8.2
199,47,2357,loyal_sleeping,19.2
200,48,2597,loyal_sleeping,13.7
201,49,2416,loyal_sleeping,12.2
202,50,2712,loyal_sleeping,14.2
203,51,2674,loyal_sleeping,23.6
